RentalID,DateKey,BikeID,StationID,RentalDurationMin,Fee
1,7/23/2024,1,1,88,103.36
2,1/13/2021,2,2,236,169.02
3,8/22/2021,3,3,276,192.14
4,6/3/2023,4,4,560,162.11
5,10/14/2024,5,5,265,192.11
6,9/22/2020,6,6,112,88.06
7,1/12/2020,7,7,574,126.64
8,3/24/2024,8,8,353,176.42
9,1/16/2022,9,9,660,113.28
10,6/24/2021,10,10,671,21.21
11,11/9/2024,11,11,714,52.39
12,8/12/2026,12,12,226,88.99
13,11/29/2025,13,13,346,123.0
14,3/29/2021,14,14,708,71.36
15,6/21/2024,15,15,380,132.83
16,6/7/2026,16,16,703,106.18
17,5/25/2020,17,17,460,76.08
18,6/7/2025,18,18,685,142.23
19,2/1/2023,19,19,57,62.37
20,11/12/2025,20,20,377,171.33
